deputado_id,deputado_nome,deputado_partido,deputado_uf,total_gasto
230768,Zé Adriano,PP,AC,822441.28
204361,Carlos Chiodini,MDB,SC,822098.50
213274,Ricardo Silva,PSD,SP,819263.29
73441,Celso Russomanno,REPUBLICANOS,SP,816484.74
225730,Enfermeira Ana Paula,PODE,CE,811752.19
178909,Hélio Leite,UNIÃO,PA,806307.68
141518,Paulinho da Força,SOLIDARIEDADE,SP,803518.92
227433,Douglas Viegas,UNIÃO,SP,801898.27
204387,Sargento Fahur,PL,PR,778722.99
222142,Coronel Telhada,PP,SP,765528.23
213762,Carla Dickson,PL,RN,764867.36
220673,Delegado Caveira,PL,PA,761983.53
178884,Hildo Rocha,MDB,MA,744337.84
74696,Alberto Mourão,MDB,SP,737490.97
230767,Rodrigo da Zaeli,PL,MT,727374.49
103758,Luciano Azevedo,PSD,RS,722353.16
74400,Paulo Pimenta,PT,RS,699467.48
204369,Caroline de Toni,PL,SC,697625.54
230957,João Cury,MDB,SP,692039.32
220596,Amália Barros,PL,MT,689194.99
227660,Nitinho,PSD,SE,685527.08
221329,Ricardo Abrão,PSDB,RJ,682925.29
160552,Danrlei de Deus Hinterholz,PSD,RS,682766.74
160545,Alexandre Leite,UNIÃO,SP,656581.04
116379,Darci de Matos,PSD,SC,651328.84
204553,Pastor Sargento Isidório,AVANTE,BA,631332.79
175765,Ribamar Silva,PODE,SP,618655.16
220571,Daniel Agrobom,PSD,GO,578967.63
204536,Kim Kataguiri,MISSÃO,SP,570361.19
229432,Luiz Fernando Vampiro,MDB,SC,564787.21
143942,Caio Vianna,PSD,RJ,544250.81
160541,Arthur Lira,PP,AL,543227.34
204448,Luiz Antonio Corrêa,PP,RJ,532010.74
204365,Gilson Marques,NOVO,SC,520234.25
